,total,percent
PoolQC,1453,0.9952054794520548
MiscFeature,1406,0.963013698630137
Alley,1369,0.9376712328767123
Fence,1179,0.8075342465753425
FireplaceQu,690,0.4726027397260274
LotFrontage,259,0.1773972602739726
GarageCond,81,0.05547945205479452
GarageType,81,0.05547945205479452
GarageYrBlt,81,0.05547945205479452
GarageFinish,81,0.05547945205479452
GarageQual,81,0.05547945205479452
BsmtExposure,38,0.026027397260273973
BsmtFinType2,38,0.026027397260273973
BsmtFinType1,37,0.025342465753424658
BsmtCond,37,0.025342465753424658
BsmtQual,37,0.025342465753424658
MasVnrArea,8,0.005479452054794521
MasVnrType,8,0.005479452054794521
Electrical,1,0.0006849315068493151
Utilities,0,0.0
